"Name","Team","Kills","Assists","Deaths","HS%","Team_kill","All_entries_won","Bomb_planted","Bomb_defused","KPR","APR","DPR","ADR","TDH","TDA","5K","4K","3K","2K","1K","Trade_kill","Trade_death","1v1","1v1_won","1v2","1v2_won","1v3","1v3_won","1v4","1v4_won","1v5","1v5_won","Utility","Map","Year","Map_Type","Event","Flashed_opponents_for","CT_entry_attempts","CT_entry_attempts_won","T_entry_attempts","T_entry_attempts_won"
"NickelBack","Entropiq",14,4,19,28.57,0,1,5,0,0.5,0.14,0.68,63.3,1772,222,0,0,0,0,14,2,4,0,0,0,0,1,0,0,0,1,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",85.72,0,0,1,1
"Forester","Entropiq",15,5,19,40,0,3,1,0,0.54,0.18,0.68,67.3,1884,142,0,0,0,5,5,3,2,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",107.35,1,1,3,0
"El1an","Entropiq",24,5,14,12.5,0,1,2,1,0.86,0.18,0.5,84.1,2354,81,0,0,2,5,8,5,1,0,0,0,0,1,0,0,0,0,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",105.93,0,0,1,1
"Lack1","Entropiq",22,4,22,54.55,0,7,0,0,0.79,0.14,0.79,88,2463,364,0,0,2,5,6,3,7,0,0,1,0,0,0,0,0,0,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",17.95,7,2,7,5
"VINI","FURIA",18,1,17,50,0,2,2,1,0.64,0.04,0.61,79.2,2218,358,0,0,2,1,10,1,1,0,0,0,0,1,1,0,0,0,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",30.71,5,2,2,0
"misutaaa","Vitality",12,4,21,41.67,0,0,2,0,0.4,0.13,0.7,43.4,1301,234,0,0,1,1,7,3,3,0,0,0,0,0,0,0,0,0,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",20.59,5,3,0,0
"Kyojin","Vitality",23,6,20,65.22,0,4,3,0,0.77,0.2,0.67,87,2610,404,0,0,1,5,10,2,4,0,0,0,0,0,0,1,0,0,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",93.1,4,1,4,2
"shox","Vitality",22,4,20,50,0,1,1,0,0.73,0.13,0.67,74.1,2223,298,0,0,0,8,6,6,3,0,0,0,0,1,0,1,0,0,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",36.46,4,3,1,1
"Lack1","Entropiq",14,4,23,35.71,0,2,1,1,0.47,0.13,0.77,55.5,1664,243,0,0,0,1,12,2,2,0,0,0,0,0,0,0,0,0,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",84.46,6,0,2,1
"apEX","Vitality",19,8,19,47.37,0,3,1,0,0.63,0.27,0.63,78.5,2355,296,1,0,1,1,9,1,0,0,0,0,0,1,1,0,0,0,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",80.16,2,0,3,2
"NickelBack","Entropiq",12,6,26,25,0,3,1,0,0.4,0.2,0.87,61.9,1858,353,0,0,1,2,5,2,4,0,0,0,0,0,0,0,0,0,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",18.67,4,3,3,1
"ZywOo","Vitality",27,6,15,44.44,0,4,4,0,0.9,0.2,0.5,94.2,2825,238,0,0,2,5,11,5,1,0,0,0,0,1,0,0,0,0,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",111.6,3,3,4,2
"El1an","Entropiq",18,6,15,33.33,0,0,0,2,0.6,0.2,0.5,69.6,2088,95,0,0,0,5,8,1,1,0,0,0,0,0,0,3,0,0,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",89.83,4,1,0,0
"Forester","Entropiq",31,5,16,51.61,0,4,2,0,1.03,0.17,0.53,93.6,2808,418,0,0,5,3,10,5,3,0,0,1,1,0,0,1,0,0,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",24.13,1,1,4,3
"Krad","Entropiq",20,7,23,25,0,3,1,0,0.67,0.23,0.77,88,2639,393,0,1,0,1,14,1,7,0,0,0,0,0,0,0,0,1,0,233272,"de_mirage","02-11-2021","BO1","PGL Major Stockholm 2021",81.86,3,3,3,0
"Kyojin","Vitality",11,5,22,45.45,0,1,0,0,0.38,0.17,0.76,46.8,1357,225,0,0,1,1,6,4,1,0,0,0,0,2,0,0,0,0,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",27.96,5,2,1,0
"ZywOo","Vitality",23,6,17,47.83,0,4,1,1,0.79,0.21,0.59,88.7,2573,151,0,0,3,3,8,4,3,0,0,1,1,0,0,0,0,0,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",105.66,3,2,4,3
"apEX","Vitality",15,10,21,40,0,1,0,0,0.52,0.34,0.72,77.6,2251,263,0,0,1,3,6,1,3,0,0,0,0,1,0,0,0,0,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",97.79,1,0,1,1
"Forester","Entropiq",25,3,16,44,0,4,0,0,0.86,0.1,0.55,78,2262,415,0,0,1,8,6,4,3,0,0,0,0,0,0,0,0,0,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",75.81,3,2,4,3
"shox","Vitality",24,2,19,33.33,0,1,1,0,0.83,0.07,0.66,88.4,2563,292,1,0,0,3,13,0,5,0,0,1,0,0,0,0,0,2,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",26.08,7,4,1,0
"El1an","Entropiq",22,7,17,18.18,0,0,1,0,0.76,0.24,0.59,66.2,1920,68,0,0,3,4,5,2,3,0,0,0,0,2,0,0,0,0,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",178.02,2,1,0,0
"NickelBack","Entropiq",20,12,17,40,0,2,1,0,0.69,0.41,0.59,85.5,2480,378,0,2,1,2,5,3,0,0,0,1,0,0,0,0,0,0,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",89.57,3,3,2,1
"Lack1","Entropiq",11,6,17,36.36,0,1,3,0,0.38,0.21,0.59,57.7,1672,234,0,0,0,2,7,4,3,0,0,0,0,0,0,0,0,0,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",54.1,3,0,1,0
"misutaaa","Vitality",13,1,21,53.85,0,3,2,0,0.45,0.03,0.72,42.5,1232,209,0,0,2,1,5,2,3,0,0,0,0,1,0,0,0,0,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",11.71,3,1,3,1
"Krad","Entropiq",22,6,19,50,0,3,0,1,0.76,0.21,0.66,86.4,2507,383,0,0,1,5,9,2,2,0,0,0,0,0,0,0,0,0,0,233272,"de_overpass","03-11-2021","BO1","PGL Major Stockholm 2021",47.62,8,4,3,1
"Krad","Entropiq",7,6,18,71.43,0,0,0,0,0.33,0.29,0.86,49.9,1047,155,0,0,0,2,3,3,3,0,0,0,0,1,0,0,0,0,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",64.12,3,0,0,0
"Forester","Entropiq",6,2,17,16.67,0,1,0,0,0.29,0.1,0.81,36.6,769,106,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",20.76,5,1,1,0
"NickelBack","Entropiq",10,6,16,50,0,1,2,0,0.48,0.29,0.76,52.4,1101,136,0,0,0,2,6,4,4,0,0,0,0,2,0,0,0,0,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",158.16,2,0,1,0
"El1an","Entropiq",12,4,15,33.33,0,2,1,0,0.57,0.19,0.71,67.9,1425,178,0,0,0,1,10,2,2,0,0,1,1,1,0,2,0,3,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",57.55,0,0,2,2
"apEX","Vitality",19,4,10,21.05,0,0,1,0,0.9,0.19,0.48,116.8,2452,256,0,1,1,3,6,2,1,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",88.51,2,1,0,0
"Lack1","Entropiq",14,2,18,71.43,0,2,0,0,0.67,0.1,0.86,83.8,1759,177,0,0,1,3,5,0,4,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",57.78,5,3,2,2
"ZywOo","Vitality",24,7,12,41.67,0,3,0,0,1.14,0.33,0.57,107.3,2253,59,1,2,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",110.79,7,6,3,1
"Kyojin","Vitality",12,7,13,58.33,0,3,0,0,0.57,0.33,0.62,64.4,1353,202,0,0,0,2,8,3,3,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",77.69,2,1,3,1
"misutaaa","Vitality",13,3,7,53.85,0,0,1,1,0.62,0.14,0.33,62,1301,188,0,0,0,3,7,6,2,0,0,0,0,0,0,1,0,0,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",18.84,1,0,0,0
"shox","Vitality",16,3,7,18.75,0,0,1,0,0.76,0.14,0.33,77.6,1630,123,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","03-11-2021","BO1","PGL Major Stockholm 2021",86.37,3,3,0,0
"Brehze","Evil Geniuses",7,3,17,71.43,0,0,0,0,0.39,0.17,0.94,60.2,1083,109,0,0,0,1,5,1,4,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",47.25,3,0,0,0
"roeJ","Copenhagen Flames",19,2,7,57.89,0,1,0,1,1.06,0.11,0.39,100.4,1807,344,0,0,2,3,7,3,4,0,0,1,1,0,0,0,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",32.85,3,3,1,1
"MICHU","Evil Geniuses",7,3,17,42.86,0,1,0,0,0.39,0.17,0.94,32.3,581,84,0,0,0,0,7,5,4,0,0,0,0,0,0,1,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",12.48,2,0,1,0
"jabbi","Copenhagen Flames",17,3,7,70.59,0,0,0,0,0.94,0.17,0.39,89.9,1619,219,0,0,1,5,4,4,4,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",0,3,3,0,0
"nicoodoz","Copenhagen Flames",15,3,8,26.67,0,2,2,0,0.83,0.17,0.44,87.8,1580,136,0,0,0,4,7,0,1,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",22.3,3,3,2,1
"Stanislaw","Evil Geniuses",4,4,17,25,0,2,1,0,0.22,0.22,0.94,40.3,725,127,0,0,0,0,4,2,2,0,0,0,0,1,0,0,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",34.58,1,0,2,0
"Zyphon","Copenhagen Flames",16,3,8,31.25,0,2,0,0,0.89,0.17,0.44,82,1476,153,0,0,1,5,3,5,1,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",7.71,1,1,2,1
"HooXi","Copenhagen Flames",17,5,10,58.82,0,0,0,0,0.94,0.28,0.56,107.9,1943,346,0,0,2,3,5,1,4,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",54.46,3,3,0,0
"CeRq","Evil Geniuses",11,1,15,63.64,0,1,1,0,0.61,0.06,0.83,62.2,1120,141,0,0,0,2,7,4,0,0,0,1,1,1,0,1,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",61.25,4,0,1,1
"oBo","Evil Geniuses",11,2,18,45.45,0,1,1,0,0.61,0.11,1,74.4,1339,203,0,0,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","31-10-2021","BO1","PGL Major Stockholm 2021",0.76,3,0,1,1
"olofmeister","FaZe Clan",13,3,13,69.23,0,0,1,0,0.59,0.14,0.59,66.6,1466,175,0,0,1,2,6,3,2,1,1,0,0,0,0,0,0,0,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",55.14,5,2,0,0
"CeRq","Evil Geniuses",12,5,17,50,0,1,0,0,0.55,0.23,0.77,66.9,1472,124,0,0,0,0,12,6,5,0,0,0,0,1,0,2,0,1,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",71.22,1,1,1,1
"Twistzz","FaZe Clan",14,1,10,50,0,0,2,0,0.64,0.05,0.45,58.6,1289,172,0,0,1,4,3,1,2,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",73.01,2,2,0,0
"MICHU","Evil Geniuses",17,5,17,64.71,0,0,0,0,0.77,0.23,0.77,82.7,1819,137,0,0,1,2,10,3,5,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",45.17,5,2,0,0
"karrigan","FaZe Clan",11,2,16,27.27,0,8,1,0,0.5,0.09,0.73,70.7,1556,238,0,0,0,1,9,2,4,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",56.3,3,2,8,1
"Brehze","Evil Geniuses",20,1,17,50,0,2,1,0,0.91,0.05,0.77,81.8,1800,208,0,0,3,3,5,4,3,0,0,3,1,0,0,0,0,0,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",51.56,2,1,2,2
"Stanislaw","Evil Geniuses",4,3,18,25,0,2,2,0,0.18,0.14,0.82,34.5,759,155,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",89.75,3,1,2,1
"rain","FaZe Clan",32,9,14,46.88,0,1,0,0,1.45,0.41,0.64,154.7,3403,524,0,1,4,6,4,5,4,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",122.01,1,0,1,1
"broky","FaZe Clan",17,5,12,41.18,0,0,2,1,0.77,0.23,0.55,69.7,1533,152,0,0,0,3,11,4,4,0,0,0,0,1,0,0,0,1,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",212.8,2,2,0,0
"oBo","Evil Geniuses",12,3,18,33.33,0,4,1,0,0.55,0.14,0.82,59,1299,143,0,0,1,2,5,3,1,0,0,0,0,2,0,0,0,0,0,233272,"de_dust2","30-10-2021","BO1","PGL Major Stockholm 2021",53.19,2,0,4,3
"jabbi","Copenhagen Flames",18,1,15,61.11,0,4,0,1,0.82,0.05,0.68,73.3,1613,102,0,0,0,5,8,3,3,1,1,1,1,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",26.32,4,1,4,4
"olofmeister","FaZe Clan",9,2,17,22.22,0,1,1,1,0.41,0.09,0.77,40.9,900,184,0,0,0,2,5,0,4,1,1,0,0,1,0,2,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",8.37,2,0,1,0
"HooXi","Copenhagen Flames",15,13,13,46.67,0,0,4,1,0.68,0.59,0.59,87.1,1917,192,0,0,1,3,6,3,3,0,0,0,0,0,0,2,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",111.07,0,0,0,0
"karrigan","FaZe Clan",8,4,20,37.5,0,6,1,0,0.36,0.18,0.91,43.5,956,204,0,0,0,2,4,1,3,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",26.61,3,2,6,0
"Zyphon","Copenhagen Flames",14,6,17,28.57,0,2,3,0,0.64,0.27,0.77,68.1,1498,174,0,0,0,2,10,3,3,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",37.21,4,3,2,2
"Twistzz","FaZe Clan",23,5,19,65.22,0,0,0,0,1.05,0.23,0.86,119,2619,455,0,1,3,1,9,3,4,0,0,2,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",68.05,2,2,0,0
"broky","FaZe Clan",13,3,18,46.15,0,1,0,0,0.59,0.14,0.82,73.3,1613,251,0,0,0,3,7,5,5,0,0,2,0,1,0,0,0,1,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",56.1,2,0,1,0
"rain","FaZe Clan",15,3,19,60,0,2,0,0,0.68,0.14,0.86,67.3,1480,242,0,0,0,3,9,6,1,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",23.39,3,1,2,0
"roeJ","Copenhagen Flames",26,2,13,65.38,0,3,0,0,1.18,0.09,0.59,128.9,2835,303,0,1,1,7,5,6,5,0,0,0,0,1,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",20.31,2,2,3,3
"nicoodoz","Copenhagen Flames",18,2,11,44.44,0,1,1,0,0.82,0.09,0.5,81.1,1785,195,0,0,1,3,9,2,1,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",55.54,2,1,1,1
"karrigan","FaZe Clan",14,7,14,42.86,0,1,2,0,0.58,0.29,0.58,71.9,1725,256,0,0,2,2,4,2,3,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",87.36,5,2,1,1
"olofmeister","FaZe Clan",20,1,12,65,0,4,1,1,0.83,0.04,0.5,77,1847,216,0,0,2,3,8,0,0,0,0,1,1,0,0,0,0,0,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",61.37,1,0,4,1
"Twistzz","FaZe Clan",14,6,14,57.14,0,0,1,0,0.58,0.25,0.58,75.6,1815,221,0,0,0,3,8,2,3,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",44.19,2,2,0,0
"Grim","Team Liquid",9,2,20,44.44,0,3,0,0,0.38,0.08,0.83,50.1,1202,311,0,0,0,2,5,1,2,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",34.8,7,1,3,1
"broky","FaZe Clan",22,4,14,36.36,0,1,1,0,0.92,0.17,0.58,85.3,2047,234,0,0,2,4,8,5,4,0,0,0,0,0,0,0,0,1,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",108.52,5,4,1,0
"FalleN","Team Liquid",15,7,20,33.33,0,2,3,0,0.62,0.29,0.83,75.1,1802,197,0,0,1,2,8,0,6,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",122.05,1,0,2,2
"rain","FaZe Clan",18,4,15,44.44,0,2,0,0,0.75,0.17,0.62,87.8,2106,266,0,0,2,3,6,4,4,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",58.45,3,2,2,1
"EliGE","Team Liquid",18,2,17,44.44,0,1,0,0,0.75,0.08,0.71,82.5,1980,245,1,0,0,3,7,5,2,0,0,0,0,1,0,1,1,0,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",54.71,3,2,1,0
"Stewie2K","Team Liquid",12,2,16,58.33,0,0,2,0,0.5,0.08,0.67,54.9,1318,128,0,0,1,0,9,5,2,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",46.71,5,3,0,0
"NAF","Team Liquid",15,1,15,40,0,2,0,0,0.62,0.04,0.62,67.1,1611,241,0,0,1,2,8,3,1,0,0,1,0,0,0,2,0,0,0,233272,"de_inferno","01-11-2021","BO1","PGL Major Stockholm 2021",57.55,0,0,2,2
"karrigan","FaZe Clan",24,8,31,50,0,6,2,0,0.59,0.2,0.76,67.5,2769,387,0,1,1,4,9,5,5,0,0,0,0,0,0,0,0,0,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",92.19,8,2,6,4
"Twistzz","FaZe Clan",32,7,26,59.38,0,4,5,1,0.78,0.17,0.63,76.3,3129,367,0,0,3,6,11,5,2,0,0,1,0,3,1,0,0,0,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",104.59,5,3,4,1
"broky","FaZe Clan",38,12,26,44.74,0,2,1,0,0.93,0.29,0.63,100,4102,288,0,1,2,8,12,10,3,0,0,0,0,2,1,2,0,1,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",180.22,3,3,2,0
"olofmeister","FaZe Clan",28,9,31,53.57,0,2,2,0,0.68,0.22,0.76,75,3075,406,0,0,3,6,7,6,5,0,0,1,0,1,0,0,0,1,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",90.3,2,2,2,1
"rain","FaZe Clan",27,7,28,51.85,0,6,1,0,0.66,0.17,0.68,80.4,3297,471,0,0,0,6,15,5,4,0,0,0,0,0,0,0,0,2,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",83.69,3,1,6,5
"Grim","Team Liquid",29,5,31,41.38,0,5,1,0,0.71,0.12,0.76,73.7,3020,494,0,0,1,6,14,4,7,0,0,0,0,0,0,1,0,0,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",65.5,7,4,5,4
"FalleN","Team Liquid",31,5,29,35.48,0,6,5,0,0.76,0.12,0.71,78.5,3218,403,0,0,1,7,14,5,5,0,0,1,0,0,0,0,0,0,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",144.71,4,2,6,3
"Stewie2K","Team Liquid",25,8,32,56,0,5,0,0,0.61,0.2,0.78,71.3,2925,523,0,0,1,5,12,2,9,0,0,0,0,0,0,1,0,0,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",67.62,7,2,5,1
"EliGE","Team Liquid",27,3,29,40.74,0,2,1,1,0.66,0.07,0.71,79.3,3250,518,0,0,1,6,12,5,5,0,0,1,0,0,0,0,0,0,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",82.66,2,1,2,0
"NAF","Team Liquid",30,6,28,43.33,0,2,1,0,0.73,0.15,0.68,87.7,3597,571,0,0,2,6,12,3,5,0,0,1,0,3,0,0,0,0,0,233272,"de_mirage","01-11-2021","BO1","PGL Major Stockholm 2021",140.65,1,1,2,1
"dupreeh","Astralis",19,5,15,52.63,1,0,0,1,0.73,0.19,0.58,93.8,2440,402,0,0,1,4,10,2,2,0,0,0,0,0,0,1,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",47.62,5,4,0,0
"Lucky","Astralis",15,3,12,46.67,0,1,3,0,0.58,0.12,0.46,54.5,1416,161,0,0,0,3,9,4,1,0,0,1,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",118.22,3,2,1,1
"KSCERATO","FURIA",20,6,18,20,0,3,1,1,0.77,0.23,0.69,94.8,2466,273,0,0,2,3,8,2,4,1,1,0,0,1,0,0,0,1,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",79.01,4,1,3,2
"Magisk","Astralis",16,7,16,43.75,0,0,2,0,0.62,0.27,0.62,83.2,2164,332,0,0,1,5,4,0,3,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",42.38,7,4,0,0
"Xyp9x","Astralis",24,5,13,25,0,1,1,1,0.92,0.19,0.5,86.4,2247,382,0,1,3,3,5,6,1,0,0,0,0,1,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",89.17,3,2,1,1
"VINI","FURIA",14,6,18,50,0,0,0,0,0.54,0.23,0.69,47.8,1243,183,0,0,1,2,7,2,2,0,0,1,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",62.81,4,3,0,0
"arT","FURIA",5,7,22,60,0,3,0,0,0.19,0.27,0.85,50.7,1319,185,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",69.09,7,0,3,0
"drop","FURIA",14,9,15,64.29,1,0,3,0,0.54,0.35,0.58,71.3,1853,277,0,0,0,3,9,4,3,0,0,0,0,0,0,1,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",71.62,4,2,0,0
"yuurih","FURIA",17,3,17,47.06,0,0,3,0,0.65,0.12,0.65,78.8,2049,317,0,0,2,2,7,3,5,0,0,0,0,0,0,1,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",70.97,1,1,0,0
"gla1ve","Astralis",12,9,20,58.33,0,4,0,0,0.46,0.35,0.77,63.5,1651,280,0,0,0,2,8,2,5,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",75.91,2,1,4,2
"drop","FURIA",21,3,15,61.9,0,1,3,1,0.84,0.12,0.6,86.4,2159,224,0,0,3,3,6,4,2,1,1,0,0,1,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",71.62,4,2,0,0
"KSCERATO","FURIA",17,4,14,29.41,0,3,2,0,0.68,0.16,0.56,78.7,1967,289,0,1,1,2,6,4,2,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",79.01,4,1,3,2
"VINI","FURIA",11,3,13,36.36,0,1,0,1,0.44,0.12,0.52,37,925,142,0,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",62.81,4,3,0,0
"dexter","MOUZ",5,7,16,80,0,2,5,0,0.2,0.28,0.64,43.5,1087,132,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",72.59,2,1,2,0
"ropz","MOUZ",21,5,17,57.14,0,3,0,0,0.84,0.2,0.68,79,1975,234,0,1,2,1,9,0,3,0,0,1,0,0,0,0,0,1,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",46.97,2,2,3,0
"arT","FURIA",16,8,16,37.5,0,4,3,0,0.64,0.32,0.64,80.6,2015,157,0,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",69.09,7,0,3,0
"Bymas","MOUZ",18,2,14,50,0,1,0,2,0.72,0.08,0.56,77.6,1941,303,0,0,0,5,8,2,3,0,0,1,0,0,0,1,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",32.69,2,1,1,1
"yuurih","FURIA",16,4,16,37.5,0,0,3,0,0.64,0.16,0.64,76.2,1904,336,0,0,0,4,8,6,1,0,0,0,0,0,0,1,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",70.97,1,1,0,0
"acoR","MOUZ",12,6,18,8.33,0,1,0,0,0.48,0.24,0.72,49,1224,183,0,0,0,3,6,2,4,0,0,1,0,0,0,0,0,0,0,233272,"de_inferno","31-10-2021","BO1","PGL Major Stockholm 2021",79.53,7,4,1,0
