"Name","Team","Kills","Assists","Deaths","HS%","Team_kill","All_entries_won","Bomb_planted","Bomb_defused","KPR","APR","DPR","ADR","TDH","TDA","5K","4K","3K","2K","1K","Trade_kill","Trade_death","1v1","1v1_won","1v2","1v2_won","1v3","1v3_won","1v4","1v4_won","1v5","1v5_won","Utility","Map","Year","Map_Type","Event","Flashed_opponents_for","CT_entry_attempts","CT_entry_attempts_won","T_entry_attempts","T_entry_attempts_won"
"Kyojin","Vitality",21,6,21,57.14,0,1,2,1,0.7,0.2,0.7,69,2070,271,0,0,1,4,10,4,4,0,0,1,1,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",36.37,1,0,1,0
"shox","Vitality",12,2,22,25,0,1,0,1,0.4,0.07,0.73,44.4,1332,124,0,0,0,3,6,1,3,0,0,0,0,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",52.05,3,2,1,1
"Magisk","Astralis",23,4,17,47.83,0,3,1,1,0.77,0.13,0.57,79.9,2396,337,0,0,2,4,9,2,3,0,0,0,0,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",45.75,4,1,3,2
"gla1ve","Astralis",26,8,21,42.31,0,6,1,0,0.87,0.27,0.7,87.8,2634,455,1,0,1,5,8,4,8,0,0,0,0,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",80.65,7,4,6,3
"Lucky","Astralis",20,11,22,45,0,3,4,0,0.67,0.37,0.73,58.5,1755,267,0,0,1,3,11,5,6,0,0,1,0,1,0,1,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",130.78,2,1,3,1
"Xyp9x","Astralis",24,6,20,54.17,0,2,0,0,0.8,0.2,0.67,88.8,2664,509,0,0,1,6,9,9,1,0,0,0,0,1,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",86.68,1,0,2,0
"misutaaa","Vitality",23,5,24,52.17,0,2,1,0,0.77,0.17,0.8,82.2,2466,447,0,0,1,7,6,9,8,0,0,0,0,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",41.64,3,2,2,1
"ZywOo","Vitality",22,5,20,27.27,0,7,2,0,0.73,0.17,0.67,76.2,2287,184,0,0,2,2,12,3,3,0,0,2,1,1,0,1,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",108.35,2,1,7,5
"misutaaa","Vitality",9,2,20,55.56,0,1,0,0,0.31,0.07,0.69,44.2,1283,136,0,0,1,0,6,1,3,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",36.12,6,3,1,0
"Xyp9x","Astralis",12,8,21,41.67,0,1,1,0,0.41,0.28,0.72,60.1,1744,255,0,0,1,1,7,1,3,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",113.13,4,2,1,1
